city,lat,lon,o3,Year
Saint-Faustin--Lac-Carré                                                                            ,46.035,-74.48083,29.63,2015
Saint-Simon                                                                                         ,45.715614,-72.840249,25.68,2015
Charette                                                                                            ,46.4416,-72.89241,25.15,2015
St-Zépherin-De-Courval                                                                              ,46.042233333,-72.659761111,27.56,2015
Trois-Rivières                                                                                      ,46.357175,-72.546187,,2015
Rouyn-Noranda                                                                                       ,48.234087,-78.982778,27.26,2015
Saguenay                                                                                            ,48.416374,-71.052412,25.13,2015
Sherbrooke                                                                                          ,45.41231,-71.8746,27.04,2015
Quebec                                                                                              ,46.774167,-71.369722,24.88,2015
Quebec                                                                                              ,46.794873,-71.246387,25.1,2015
Quebec                                                                                              ,46.821177,-71.220495,22.08,2015
Gatineau                                                                                            ,45.435987,-75.723429,25.86,2015
Montréal                                                                                            ,45.5934,-73.63726,24.1,2015
Montréal                                                                                            ,45.54271,-73.57176,23.39,2015
Montréal                                                                                            ,45.651691,-73.573825,26.14,2015
Montréal                                                                                            ,45.468322,-73.741198,24.22,2015
Montréal                                                                                            ,45.426542,-73.928929,26.63,2015
Longueuil                                                                                           ,45.44298,-73.468631,27.08,2015
Longueuil                                                                                           ,45.52207,-73.4881,25.71,2015
Montréal                                                                                            ,45.47167,-73.57222,,2015
Montréal                                                                                            ,45.501531,-73.574311,20.35,2015
Laval                                                                                               ,45.547463,-73.7483166,26.2,2015
Montréal                                                                                            ,45.502648,-73.663913,21.24,2015
Montréal                                                                                            ,45.641026,-73.499682,,2015
Bathurst                                                                                            ,47.609693,-65.633509,26.63,2015
Lower Newcastle                                                                                     ,47.071087,-65.423534,26.4,2015
St. Leonards                                                                                        ,47.157628,-67.831015,,2015
Saint Andrews                                                                                       ,45.086912,-67.074036,27.75,2015
Norton                                                                                              ,45.64192,-65.70127,25.48,2015
Point Lepreau                                                                                       ,45.073272,-66.449573,,2015
Fundy National Park                                                                                 ,45.59222,-64.99444,,2015
Moncton                                                                                             ,46.101578,-64.789661,23.85,2015
Saint John                                                                                          ,45.252898,-66.080065,23.23,2015
Saint John                                                                                          ,45.269677,-66.06151,28.02,2015
Saint John                                                                                          ,45.308762,-66.008384,28.06,2015
Terrace                                                                                             ,54.52167,-128.6075,,2015
Fredericton                                                                                         ,45.957318,-66.646719,25.18,2015
Pictou                                                                                              ,45.68167,-62.69664,24.83,2015
Aylesford                                                                                           ,45.07267,-64.84033,32.82,2015
Kejimkujik                                                                                          ,44.433611,-65.205833,29.68,2015
Sydney                                                                                              ,46.14222,-60.17252,29.87,2015
Port Hawkesbury                                                                                     ,45.6141612,-61.3623563,28.2,2015
Halifax                                                                                             ,44.719799,-63.480754,30.43,2015
Halifax                                                                                             ,44.646425,-63.573383,20.14,2015
Southampton                                                                                         ,46.38635,-62.58272,28.33,2015
Wellington                                                                                          ,46.47843,-63.98763,27.8,2015
Charlottetown                                                                                       ,46.233,-63.13667,38.36,2015
Labrador City                                                                                       ,52.9518,-66.9156,28.18,2015
Marystown                                                                                           ,47.09899,-55.19852,32.63,2015
Port-Au-Choix                                                                                       ,50.7123,-57.36421,,2015
Corner Brook                                                                                        ,48.95224,-57.92207,28.56,2015
Happy Valley-Goose Bay                                                                              ,53.306,-60.36314,29.47,2015
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,30.2,2015
Norton                                                                                              ,45.64192,-65.70127,24.12,2016
Saint John                                                                                          ,45.269677,-66.06151,,2016
Fort Smith                                                                                          ,60.00455,-111.893241,23.76,2016
Snare Rapids                                                                                        ,63.50825,-116.00867,29.85,2016
Iqaluit                                                                                             ,63.751619,-68.522433,,2016
Inuvik                                                                                              ,68.35702037,-133.7140565,24.68,2016
Norman Wells                                                                                        ,65.27926,-126.813057,23.02,2016
Yellowknife                                                                                         ,62.45207,-114.364,25.85,2016
Whitehorse                                                                                          ,60.71972,-135.05875,24.14,2016
Courtenay                                                                                           ,49.682603,-124.996222,18.88,2016
Ucluelet                                                                                            ,48.921799,-125.541209,31.26,2016
Fort Saint John                                                                                     ,56.24473,-120.8561,,2016
Whistler                                                                                            ,50.144285,-122.960402,18.81,2016
Duncan                                                                                              ,48.784854,-123.715846,17.86,2016
Vernon                                                                                              ,50.260617,-119.270723,17.14,2016
Mission                                                                                             ,49.14149,-122.311078,21.36,2016
Castlegar                                                                                           ,49.317698,-117.661527,,2016
Williams Lake                                                                                       ,52.14428,-122.150391,18.65,2016
Terrace                                                                                             ,54.52167,-128.6075,19.43,2016
Smithers                                                                                            ,54.783308,-127.177324,15.04,2016
Nanaimo                                                                                             ,49.20083,-123.99389,20.67,2016
Saturna                                                                                             ,48.78333,-123.13333,28.46,2016
Quesnel                                                                                             ,52.981686,-122.493227,15.23,2016
Squamish                                                                                            ,49.70516,-123.15133,16.54,2016
Maple Ridge                                                                                         ,49.21494,-122.582057,19.76,2016
Hope                                                                                                ,49.369887,-121.49912,17.62,2016
Langley                                                                                             ,49.09561,-122.567104,20.77,2016
Pitt Meadows                                                                                        ,49.245233,-122.70889,18.19,2016
Chilliwack                                                                                          ,49.155848,-121.940279,17.49,2016
Abbotsford                                                                                          ,49.021554,-122.326523,20.63,2016
Abbotsford                                                                                          ,49.04258,-122.30982,18.29,2016
Kelowna                                                                                             ,49.862336,-119.477367,21.84,2016
Kamloops                                                                                            ,50.67477,-120.334016,18.94,2016
Victoria                                                                                            ,48.42369,-123.49432,22.72,2016
Victoria                                                                                            ,48.441942,-123.363165,21.27,2016
Prince George                                                                                       ,53.91472,-122.74194,17.53,2016
Agassiz                                                                                             ,49.238008,-121.762264,18.3,2016
Vancouver                                                                                           ,49.260267,-123.077776,11.33,2016
Delta                                                                                               ,49.009877,-123.081997,23.51,2016
Coquitlam                                                                                           ,49.288265,-122.79157,16.43,2016
Richmond                                                                                            ,49.186265,-123.152422,16.16,2016
North Vancouver                                                                                     ,49.323994,-123.083496,17.8,2016
Richmond                                                                                            ,49.141437,-123.108215,17.17,2016
Surrey                                                                                              ,49.132928,-122.694224,20.04,2016
Burnaby                                                                                             ,49.279809,-122.922267,27.61,2016
Delta                                                                                               ,49.158348,-122.90173,17.94,2016
North Vancouver                                                                                     ,49.301472,-123.020417,15.48,2016
Burnaby                                                                                             ,49.21519,-122.985666,17.03,2016
Vancouver                                                                                           ,49.282272,-123.12188,8.65,2016
Port Moody                                                                                          ,49.280893,-122.849291,13.49,2016
Burnaby                                                                                             ,49.279214,-122.970707,16.54,2016
New Westminster                                                                                     ,49.227045,-122.894487,13.56,2016
Anzac                                                                                               ,56.44928,-111.03722,27.37,2016
St Lina                                                                                             ,54.2165,-111.5026,28.06,2016
Cold Lake                                                                                           ,54.414013889,-110.232938889,23.36,2016
Hinton                                                                                              ,53.427301,-117.544067,19.55,2016
Genesee                                                                                             ,53.3016,-114.2211,19.79,2016
Edson                                                                                               ,53.593771,-116.395822,24.45,2016
Bretton                                                                                             ,53.0903,-114.46061,23.78,2016
Lamont                                                                                              ,53.76036,-112.88017,27.51,2016
Grande Prairie                                                                                      ,55.1766,-118.8078,20.81,2016
Caroline                                                                                            ,51.94687,-114.69744,28.26,2016
Fort Chipewyan                                                                                      ,58.70879,-111.17683,29.4,2016
Steeper                                                                                             ,53.1325,-117.09111,30,2016
Carrot Creek                                                                                        ,53.621062,-115.869155,23.5,2016
Beaverlodge                                                                                         ,55.19634,-119.39682,26.11,2016
Violet Grove                                                                                        ,53.14222,-115.13806,26.72,2016
Tomahawk                                                                                            ,53.37255,-114.76835,26.98,2016
Elk Island                                                                                          ,53.68238,-112.86812,26.71,2016
Conklin                                                                                             ,55.621408,-111.17269,,2016
Wapasu                                                                                              ,57.26176,-111.037,26.61,2016
Fort Mckay                                                                                          ,57.1492,-111.6424,19.11,2016
Fort Mckay                                                                                          ,57.18941,-111.6405,21.3,2016
Fort Mcmurray                                                                                       ,56.75139,-111.47662,26.75,2016
Fort Mcmurray                                                                                       ,56.73341,-111.39047,22.82,2016
Bruderheim                                                                                          ,53.805629,-112.925851,,2016
Gibbons                                                                                             ,53.827241,-113.327174,23.74,2016
Bruderheim                                                                                          ,53.7999878,-112.92781,,2016
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,21.78,2016
Lethbridge                                                                                          ,49.71621,-112.8006,29.14,2016
Medicine Hat                                                                                        ,50.04893,-110.68116,26.64,2016
Red Deer                                                                                            ,52.24095,-113.765439,21.39,2016
Red Deer                                                                                            ,52.29867,-113.79352,,2016
Calgary                                                                                             ,51.0309,-114.0091,20.87,2016
Calgary                                                                                             ,50.955122,-113.969742,21.36,2016
Calgary                                                                                             ,51.079222,-114.141828,22.3,2016
St. Albert                                                                                          ,53.626908,-113.611883,,2016
Ardrossan                                                                                           ,53.554691,-113.144905,23.91,2016
Sherwood Park                                                                                       ,53.532092,-113.320983,23.39,2016
Edmonton                                                                                            ,53.564411,-113.562583,21.6,2016
Edmonton                                                                                            ,53.54445,-113.49884,18.5,2016
Edmonton                                                                                            ,53.54823,-113.36811,21.96,2016
Edmonton                                                                                            ,53.5001,-113.5261,23.01,2016
Pinehouse                                                                                           ,55.50333,-106.72167,27.89,2016
Swift Current                                                                                       ,50.285833,-107.81689,19.95,2016
Prince Albert                                                                                       ,53.201694,-105.75203,17.32,2016
Saskatoon                                                                                           ,52.13613,-106.66293,22.17,2016
Regina                                                                                              ,50.4527,-104.616,25.25,2016
Thompson                                                                                            ,55.74719,-97.87353,,2016
Flin Flon                                                                                           ,54.76852,-101.87747,,2016
Brandon                                                                                             ,49.83918,-99.9206,24.13,2016
Winnipeg                                                                                            ,49.89799,-97.14653,22.55,2016
Winnipeg                                                                                            ,49.93207,-97.11317,14.96,2016
Petawawa                                                                                            ,45.996722,-77.441194,26.42,2016
Bonney Lake                                                                                         ,49.386389,-82.121389,26.4,2016
Pickle Lake                                                                                         ,51.44814,-90.21786,27.97,2016
Chatham                                                                                             ,42.40369,-82.20831,29.62,2016
Belleville                                                                                          ,44.15053,-77.3955,30.41,2016
Port Stanley                                                                                        ,42.67208,-81.16289,32.91,2016
Parry Sound                                                                                         ,45.33786,-80.03817,29.55,2016
Newmarket                                                                                           ,44.04431,-79.48325,28.57,2016
Barrie                                                                                              ,44.382313889,-79.702430556,25.9,2016
Egbert                                                                                              ,44.23106,-79.7831,30.44,2016
Algoma                                                                                              ,47.03361,-84.37889,31.42,2016
Exp Lakes Area                                                                                      ,49.66389,-93.72111,28.59,2016
Grand Bend                                                                                          ,43.333186111,-81.742822222,30.69,2016
Dorset                                                                                              ,45.224278,-78.932944,27.36,2016
Burlington                                                                                          ,43.314575,-79.802755556,27.66,2016
Simcoe                                                                                              ,42.85685,-80.26964,32.05,2016
Tiverton                                                                                            ,44.31447,-81.54972,33.02,2016
North Bay                                                                                           ,46.32323,-79.44928,26.35,2016
