city,Year,CO,NO2,O3
Delhi                                                                           ,2015,5.255150684931505,50.43438356164381,57.39550684931507
Patna                                                                           ,2015,1.8199516908212567,23.506859903381635,11.371932367149755
Bengaluru                                                                       ,2015,5.556117318435757,19.923643835616435,26.008547486033518
Chennai                                                                         ,2015,2.386491712707181,19.30729281767955,32.835932203389824
Gurugram                                                                        ,2015,1.5372413793103448,13.217586206896554,14.562413793103449
Hyderabad                                                                       ,2015,0.7495821727019503,15.096155988857939,28.484233983286934
Mumbai                                                                          ,2015,0,,
Lucknow                                                                         ,2015,4.9615342465753445,16.724807692307692,34.66019230769232
Ahmedabad                                                                       ,2015,13.589770491803279,21.254117647058834,31.347401315789483
Visakhapatnam                                                                   ,2016,1.089438202247191,42.4085393258427,43.528370786516824
Mumbai                                                                          ,2016,0,,
Hyderabad                                                                       ,2016,0.8246703296703287,28.437017543859643,34.52825581395351
Chennai                                                                         ,2016,1.1332267441860449,16.48273809523809,31.85259818731118
Gurugram                                                                        ,2016,1.492592592592593,16.176415094339625,27.559505300353354
Lucknow                                                                         ,2016,2.1574117647058815,36.53588405797104,43.14397101449276
Delhi                                                                           ,2016,1.6100819672131141,63.488606557377004,76.85786885245902
Bengaluru                                                                       ,2016,1.2866942148760334,30.09099722991688,34.77671186440683
Patna                                                                           ,2016,1.6853888888888884,23.07314763231199,17.285611111111105
Ahmedabad                                                                       ,2016,14.889120000000007,14.962879999999998,19.68044247787611
Lucknow                                                                         ,2017,1.727272727272726,37.76650137741047,44.337768595041354
Jorapokhar                                                                      ,2017,0.2896323529411764,10.346496350364964,21.472695652173922
Amritsar                                                                        ,2017,0.5857142857142859,20.601192982456137,17.412412587412586
Chennai                                                                         ,2017,0.22087671232876713,15.02850828729282,30.766381215469615
Ahmedabad                                                                       ,2017,30.774461538461548,78.43307692307691,51.99888888888888
Thiruvananthapuram                                                              ,2017,0.8399479166666669,6.919999999999997,12.568813559322031
Visakhapatnam                                                                   ,2017,0.5081868131868132,33.40038461538462,49.22712643678161
Brajrajnagar                                                                    ,2017,2.9136842105263163,11.844000000000001,6.457368421052632
Hyderabad                                                                       ,2017,0.2543013698630137,31.635604395604407,45.49782967032966
Gurugram                                                                        ,2017,1.847027777777777,19.643999999999984,31.784636871508415
Delhi                                                                           ,2017,0.6977534246575344,57.66305785123968,42.242953736654826
Jaipur                                                                          ,2017,0.4613917525773197,33.70181818181818,37.114731182795694
Mumbai                                                                          ,2017,0,,17.24
Amaravati                                                                       ,2017,0.14605263157894735,37.028684210526315,84.8465789473684
Talcher                                                                         ,2017,3.46,,0.055
Bengaluru                                                                       ,2017,1.0540384615384617,36.346438356164384,29.809876923076924
Patna                                                                           ,2017,1.3221491228070168,59.161049723756925,26.3486111111111
Bengaluru                                                                       ,2018,0.9456712328767128,28.563681318681315,31.84005899705015
Amaravati                                                                       ,2018,0.7269540229885049,26.38456582633053,36.94341736694681
Hyderabad                                                                       ,2018,0.6217260273972608,37.51347945205483,33.990246575342454
Lucknow                                                                         ,2018,1.0426027397260271,41.71734246575346,32.687430939226545
Thiruvananthapuram                                                              ,2018,1.1806887052341595,10.099669421487606,38.88101928374655
Brajrajnagar                                                                    ,2018,2.3801503759398517,17.435799256505568,13.278226415094334
Mumbai                                                                          ,2018,1.572342857142857,31.32760563380284,43.479475806451596
Patna                                                                           ,2018,1.529671232876712,45.77019230769229,64.98088607594934
Visakhapatnam                                                                   ,2018,0.7186956521739127,38.963749999999955,38.256057971014464
Amritsar                                                                        ,2018,0.4644372990353694,21.82303977272726,24.184119601328895
Jaipur                                                                          ,2018,0.8974520547945201,33.296904109589036,49.016931506849296
Kolkata                                                                         ,2018,0.9420300751879699,44.882157676348584,27.004722222222227
Delhi                                                                           ,2018,1.407068493150685,45.92252054794516,44.372438356164395
Jorapokhar                                                                      ,2018,0.2546538461538461,8.251455938697319,25.450303030303026
Talcher                                                                         ,2018,2.056706349206348,19.43870833333334,17.662695312499995
Chennai                                                                         ,2018,0.8704109589041105,20.052109589041095,28.372356164383547
Ahmedabad                                                                       ,2018,33.24440771349862,84.93749311294762,39.753020134228215
Gurugram                                                                        ,2018,0.8972451790633613,30.71715542521992,31.83962318840578
Mumbai                                                                          ,2019,1.2709065934065924,23.59186111111111,28.86854794520552
Lucknow                                                                         ,2019,1.2304109589041101,35.22276712328768,32.22501369863011
Bengaluru                                                                       ,2019,0.9017534246575334,28.37643835616438,40.342876712328724
Shillong                                                                        ,2019,0.25950495049504957,2.8612500000000005,29.364950495049502
Guwahati                                                                        ,2019,0.7126415094339623,13.070157232704403,24.40644654088052
Jaipur                                                                          ,2019,0.8995616438356169,33.045945205479434,44.87205479452056
Chandigarh                                                                      ,2019,0.7509090909090907,10.509829059829062,16.33834710743802
Ahmedabad                                                                       ,2019,26.133844011142063,91.09086350974925,46.58784916201112
Thiruvananthapuram                                                              ,2019,0.8830446927374298,7.050502793296088,39.846424581005586
