fips,full,year,O3
1,Alabama,2013,0.75031130645161290323
1,Alabama,2014,1.1865171293532338
1,Alabama,2015,1.0094290200000000
1,Alabama,2016,0.83511755033557046980
2,Alaska,2014,5.9515312681564246
2,Alaska,2015,6.1590109713831479
4,Arizona,2000,2.3032257374857793
4,Arizona,2001,1.6666013479338843
4,Arizona,2002,1.8739165972299169
4,Arizona,2003,1.7997748955317810
4,Arizona,2004,1.6263508345485137
4,Arizona,2005,1.8447992755455490
4,Arizona,2006,1.6886411234670202
4,Arizona,2007,1.5204083163345057
4,Arizona,2008,1.4573806352213801
4,Arizona,2009,1.1760773072734345
4,Arizona,2010,1.0470331247640619
4,Arizona,2011,0.77592488390353337072
4,Arizona,2012,0.91300174481658692185
4,Arizona,2013,0.71636717718940936864
4,Arizona,2014,0.92371020949015648662
4,Arizona,2015,0.58484846627277203348
4,Arizona,2016,0.39592719117647058824
5,Arkansas,2007,3.1604945961538462
5,Arkansas,2008,1.7602098210382514
5,Arkansas,2009,1.7323654520547945
5,Arkansas,2010,1.2924943253472222
5,Arkansas,2011,1.3655325356164384
5,Arkansas,2012,1.3046150054682160
5,Arkansas,2013,1.2992415363013699
5,Arkansas,2014,1.1416358157534247
5,Arkansas,2015,1.1102464903846154
5,Arkansas,2016,0.66379951098901098901
6,California,2000,1.7210038055475711
6,California,2001,1.8136710187528546
6,California,2002,1.6259311292510017
6,California,2003,1.4950334445981876
6,California,2004,1.8278402307055169
6,California,2005,1.6530337673124604
6,California,2006,1.3833036514029903
6,California,2007,1.2164233821364041
6,California,2008,1.09528218926952877540
6,California,2009,1.00694868834733893557
6,California,2010,0.72086561657641395909
6,California,2011,0.70932564366280002138
6,California,2012,0.60058955396382177977
6,California,2013,0.47555475198213288666
6,California,2014,0.49199503746406149152
6,California,2015,0.45864833990012788503
6,California,2016,0.60127586436363636364
8,Colorado,2000,2.1380578726027397
8,Colorado,2001,2.4376980186915888
8,Colorado,2002,2.2467810911602210
8,Colorado,2003,1.9633121663920923
8,Colorado,2004,1.8985486778425656
8,Colorado,2005,1.9304383746341463
8,Colorado,2006,2.0845535038940810
8,Colorado,2007,1.9193284670014347
8,Colorado,2008,1.8602282039698836
8,Colorado,2009,1.3706565812500000
8,Colorado,2010,1.0280904292452830
8,Colorado,2011,1.4074937598116170
8,Colorado,2012,1.3363450868768328
8,Colorado,2013,1.0601894347619048
8,Colorado,2014,0.94243337901548416917
8,Colorado,2015,1.0342656627516779
8,Colorado,2016,1.0044201747211896
9,Connecticut,2006,3.1960970348837209
9,Connecticut,2007,1.7516646802973978
9,Connecticut,2008,1.2492259085427136
9,Connecticut,2009,1.4085442401420959
9,Connecticut,2010,0.94962348439450686642
9,Connecticut,2011,0.90243596142991533396
9,Connecticut,2012,0.64223470607476635514
9,Connecticut,2013,0.55167509988901220866
9,Connecticut,2014,0.57324517734553775744
9,Connecticut,2015,0.36563845017381228273
10,Delaware,2011,1.2262590992063492
10,Delaware,2012,1.00006343440860215054
10,Delaware,2013,0.89806703488372093023
10,Delaware,2014,1.1228957311557789
10,Delaware,2015,0.73975052262443438914
10,Delaware,2016,0.82822719642857142857
11,District Of Columbia,2000,8.1375398420329670
11,District Of Columbia,2001,6.6513486919770774
11,District Of Columbia,2002,6.7127086904109589
11,District Of Columbia,2003,8.3231867036011080
11,District Of Columbia,2004,6.4750445288461538
11,District Of Columbia,2005,4.4839529944751381
11,District Of Columbia,2006,4.5250028821917808
11,District Of Columbia,2007,5.0210161703703704
11,District Of Columbia,2008,5.5564482027777778
11,District Of Columbia,2009,4.5290599875690608
11,District Of Columbia,2010,3.3608652692307692
11,District Of Columbia,2011,3.5996834619377163
11,District Of Columbia,2012,1.6821969205648720
11,District Of Columbia,2013,0.99097800534351145038
11,District Of Columbia,2014,1.1175846030444965
11,District Of Columbia,2015,1.2680819417549168
11,District Of Columbia,2016,0.97195593103448275862
12,Florida,2000,1.9739121432584270
12,Florida,2001,1.1479179319148936
12,Florida,2002,0.66194602754820936639
12,Florida,2003,0.65606345580110497238
12,Florida,2004,0.64829786235955056180
12,Florida,2005,0.51962474792243767313
12,Florida,2006,0.39075961643835616438
12,Florida,2007,0.65928471056241426612
12,Florida,2008,0.55133944765625000000
12,Florida,2009,0.12143105890804597701
12,Florida,2010,0.14779123676880222841
12,Florida,2011,0.09644472876712328767
12,Florida,2012,0.05960993715846994536
12,Florida,2013,-0.02581982253521126761
12,Florida,2014,0.10933308750000000000
12,Florida,2015,0.03506682193732193732
12,Florida,2016,0.39640819780219780220
13,Georgia,2010,1.1479451739130435
13,Georgia,2011,0.89366675757575757576
13,Georgia,2012,0.43952152200825309491
13,Georgia,2013,0.32174269452449567723
13,Georgia,2014,0.35992398174157303371
13,Georgia,2015,0.25499925289017341040
13,Georgia,2016,0.28865295238095238095
15,Hawaii,2011,0.90962653039134054954
15,Hawaii,2012,0.87150597569955817378
15,Hawaii,2013,1.2794029796511628
15,Hawaii,2014,0.98619705718954248366
15,Hawaii,2015,1.0550591360347323
16,Idaho,2009,0.22107661486486486486
16,Idaho,2010,0.32321959583333333333
16,Idaho,2011,0.71526708695652173913
17,Illinois,2000,6.0642694098011364
17,Illinois,2001,5.4798749052765416
17,Illinois,2002,4.1785225072799471
17,Illinois,2003,5.0277228052173913
17,Illinois,2004,4.1250069069373942
17,Illinois,2005,4.8291982977031802
17,Illinois,2006,2.7122780189873418
17,Illinois,2007,1.6630271373831776
17,Illinois,2008,1.5833501574450773
17,Illinois,2009,1.4401344524207012
17,Illinois,2010,2.1081308430191354
17,Illinois,2011,2.4854753919262556
17,Illinois,2012,1.1132748227272727
17,Illinois,2013,0.87882893492063492063
17,Illinois,2014,0.98289164591078066914
17,Illinois,2015,1.1842742101265823
17,Illinois,2016,0.94169127094972067039
18,Indiana,2000,7.3508008413173653
18,Indiana,2001,3.3137790280898876
18,Indiana,2002,3.5119717695312500
18,Indiana,2003,3.3911762837078652
18,Indiana,2004,4.7259993321678322
18,Indiana,2005,4.7666011086956522
18,Indiana,2006,9.9335322902298851
18,Indiana,2007,3.3991836784702550
18,Indiana,2008,2.4652064293478261
18,Indiana,2009,1.5431601214689266
18,Indiana,2010,2.9859852891156463
18,Indiana,2011,1.3611319782608696
18,Indiana,2012,0.84480614705882352941
18,Indiana,2013,2.1757260548086867
18,Indiana,2014,2.4798351316455696
18,Indiana,2015,1.2629852293233083
18,Indiana,2016,0.39297341237113402062
19,Iowa,2006,0.46149891935483870968
19,Iowa,2007,0.55328797953964194373
19,Iowa,2008,0.43700926503067484663
19,Iowa,2009,0.32478274937343358396
19,Iowa,2010,0.38630941403286978508
19,Iowa,2011,0.49673884586108468126
19,Iowa,2012,0.42232420098920863309
19,Iowa,2013,0.39924955693296602388
19,Iowa,2014,0.41638174565972222222
19,Iowa,2015,0.40115888975694444444
19,Iowa,2016,0.19128403021978021978
20,Kansas,2000,0.94281502574525745257
20,Kansas,2001,0.99313020442359249330
20,Kansas,2002,1.5628587797878977
20,Kansas,2003,1.7958168686371100
20,Kansas,2004,2.0952714289026275
20,Kansas,2005,2.2111053181818182
20,Kansas,2006,3.2913566252446184
20,Kansas,2007,4.1964023698630137
20,Kansas,2008,4.0438180979827089
20,Kansas,2009,4.6520790263157895
20,Kansas,2010,5.1893089078947368
20,Kansas,2011,3.6189493357142857
20,Kansas,2012,2.8085290792951542
20,Kansas,2013,2.0433924545454545
20,Kansas,2014,1.7583278650568182
20,Kansas,2015,1.5421316053811659
20,Kansas,2016,1.0845895657142857
21,Kentucky,2000,4.7806329584705452
21,Kentucky,2001,4.0642259251324025
21,Kentucky,2002,2.9200475344234079
21,Kentucky,2003,3.5330672064777328
21,Kentucky,2013,1.4973032987804878
21,Kentucky,2014,1.4575314816513761
21,Kentucky,2015,0.55116024870466321244
22,Louisiana,2000,3.6587124303278689
22,Louisiana,2001,3.6917967388888889
22,Louisiana,2002,2.6127590725689405
22,Louisiana,2003,3.3623285555555556
22,Louisiana,2004,3.4598764520547945
22,Louisiana,2005,3.7669608180851064
22,Louisiana,2006,3.4377572416879795
22,Louisiana,2007,2.5745615140845070
22,Louisiana,2008,2.3955423440559441
22,Louisiana,2009,1.9134634279778393
22,Louisiana,2010,1.3596249348441926
22,Louisiana,2011,1.2474198347107438
22,Louisiana,2012,0.82440110422535211268
22,Louisiana,2013,0.63525372916666666667
22,Louisiana,2014,1.2450263338368580
22,Louisiana,2015,1.0705288620689655
22,Louisiana,2016,1.1132564605263158
23,Maine,2006,0.82353994482758620690
23,Maine,2007,0.77906315616438356164
23,Maine,2008,1.2127995053763441
23,Maine,2009,1.8235475757347400
23,Maine,2010,0.94015529664530719940
23,Maine,2011,0.81447036464857341684
23,Maine,2012,0.75772393976323119777
23,Maine,2013,0.83834337258883248731
23,Maine,2014,0.52931816666666666667
23,Maine,2015,0.85535421745562130178
23,Maine,2016,0.33263779370629370629
24,Maryland,2006,3.9466608374233129
24,Maryland,2007,3.1987664419306184
24,Maryland,2008,2.8056360468409586
24,Maryland,2009,2.5025550172413793
24,Maryland,2010,2.1529911799709724
24,Maryland,2011,1.9809930255591054
24,Maryland,2012,1.1303751671511628
24,Maryland,2013,0.95680234696859021183
24,Maryland,2014,1.0650572546552592
24,Maryland,2015,0.89204827022244691608
24,Maryland,2016,0.72718509701492537313
25,Massachusetts,2001,5.9020484903846154
25,Massachusetts,2002,4.5575252305699482
25,Massachusetts,2003,6.0040329958904110
25,Massachusetts,2004,3.6369528968253968
25,Massachusetts,2005,1.9711940243553009
25,Massachusetts,2006,2.4080049388888889
25,Massachusetts,2007,3.1667044074585635
25,Massachusetts,2008,2.3308694835616438
25,Massachusetts,2009,2.1267829418282548
25,Massachusetts,2010,1.5808720235131397
25,Massachusetts,2011,1.2489172087912088
25,Massachusetts,2012,1.1012616492329149
25,Massachusetts,2013,1.0711304285714286
25,Massachusetts,2014,1.0277057298136646
25,Massachusetts,2015,0.71642386996904024768
25,Massachusetts,2016,0.67685866483516483516
26,Michigan,2000,5.4152512058823529
26,Michigan,2001,5.3927077482993197
26,Michigan,2002,3.4006706798866856
26,Michigan,2003,2.9929796710144928
26,Michigan,2004,2.3863983877551020
26,Michigan,2005,2.6919049570552147
26,Michigan,2006,1.9067676434659091
26,Michigan,2007,2.3229165000000000
27,Minnesota,2011,0.89228079616724738676
27,Minnesota,2012,0.39222764112903225806
27,Minnesota,2014,0.41520928787878787879
27,Minnesota,2015,0.70465864525547445255
29,Missouri,2000,4.1454618870843001
29,Missouri,2001,4.2934898202947846
29,Missouri,2002,4.1030317206572770
29,Missouri,2003,3.6032317097902098
29,Missouri,2004,3.4189968802325581
29,Missouri,2005,3.1790188275058275
29,Missouri,2006,3.2980340328638498
29,Missouri,2007,3.4360598530805687
29,Missouri,2008,2.8067672209302326
29,Missouri,2013,2.4882097842565598
29,Missouri,2014,2.1309381949860724
29,Missouri,2015,1.3924375341726619
29,Missouri,2016,1.1153763775510204
32,Nevada,2001,0.28752642934782608696
32,Nevada,2002,0.06186980747126436782
32,Nevada,2003,0.01399347289156626506
32,Nevada,2010,0.43043550000000000000
32,Nevada,2011,0.50222168356164383562
32,Nevada,2012,0.37438249305555555556
32,Nevada,2013,0.49972873188405797101
32,Nevada,2014,0.37427555924855491329
32,Nevada,2015,0.39295069872813990461
32,Nevada,2016,0.37936950641025641026
33,New Hampshire,2002,1.1106216521739130
33,New Hampshire,2003,1.3233987298850575
33,New Hampshire,2004,2.3561168315217391
33,New Hampshire,2005,3.0066285920398010
33,New Hampshire,2006,1.5190430171428571
33,New Hampshire,2007,1.2446594945652174
33,New Hampshire,2008,1.3260550934065934
33,New Hampshire,2009,1.4825220308411215
33,New Hampshire,2010,0.97338333208955223881
33,New Hampshire,2014,0.91375532758620689655
33,New Hampshire,2015,0.82910630865921787709
33,New Hampshire,2016,0.81888215254237288136
34,New Jersey,2000,6.2779108291492329
34,New Jersey,2001,5.7368115092091008
34,New Jersey,2002,5.4279778512336720
34,New Jersey,2003,6.6851701183206107
34,New Jersey,2004,5.6056662374461980
34,New Jersey,2005,4.9230693173745174
34,New Jersey,2006,3.9079021086350975
34,New Jersey,2007,3.6578209732958538
34,New Jersey,2008,3.2737211436567164
34,New Jersey,2011,1.9554864252873563
34,New Jersey,2012,1.1821660645695364
34,New Jersey,2013,0.54115606865464632455
34,New Jersey,2014,0.59064316852367688022
34,New Jersey,2015,0.29228921564625850340
35,New Mexico,2011,0.40403363366336633663
35,New Mexico,2012,0.64693707660167130919
35,New Mexico,2013,0.78934051882845188285
35,New Mexico,2014,0.53552999165507649513
35,New Mexico,2015,0.68661996448863636364
36,New York,2000,7.1823280015940489
36,New York,2001,7.7955333767245216
36,New York,2002,6.8234243469879518
36,New York,2003,7.4470096739020697
36,New York,2004,6.9978045689272503
36,New York,2005,7.3516236266536012
36,New York,2006,4.6993585482717521
36,New York,2007,4.9601598617647059
36,New York,2008,4.5485628225694444
36,New York,2009,3.3451750702453988
36,New York,2010,3.0391817356687898
36,New York,2011,2.4836085243707551
36,New York,2012,2.5156718166894665
36,New York,2013,1.8067857808599168
36,New York,2014,1.4327756841736695
36,New York,2015,1.0049649689226519
36,New York,2016,1.0514274393305439
37,North Carolina,2000,3.6605650524861878
37,North Carolina,2001,3.2804240799373041
37,North Carolina,2002,2.7364961332599119
37,North Carolina,2003,2.8896530424688562
37,North Carolina,2004,2.3698938361244019
37,North Carolina,2005,2.1561983906976744
37,North Carolina,2006,2.6581683935185185
37,North Carolina,2007,2.9402462073002755
37,North Carolina,2008,2.0702668746556474
37,North Carolina,2009,0.80215150000000000000
37,North Carolina,2010,0.90441153511235955056
37,North Carolina,2011,0.57081054500703234880
37,North Carolina,2012,0.23376943750000000000
37,North Carolina,2013,0.25382791335227272727
