NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
101005,Metro Van - Abbotsford,BC,1073 Columbia Street,49.021554,-122.326523,65,"PE,LU,P3,A",DMean,0.08,0.1,0.12,0.14,0.16,0.17,0.19,0.23,0.27,0.38,0.85,0.85,96.98630137,0.14,0.16,0.17,0.15,0.14,0.11,0.13,0.23,0.12,0.16,0.14,0.13,0.15,0.066095341,2018
101101,Metro Van-Chilliwack,BC,46360 Airport Road,49.155848,-121.940279,12,"PE,MU,P3,R",DMean,0.11,0.14,0.16,0.18,0.2,0.22,0.26,0.3,0.43,0.54,0.94,0.94,97.260273973,0.19,0.19,0.21,0.18,0.17,0.15,0.16,0.31,0.18,0.22,0.21,0.18,0.19,0.079115986,2018
101301,Metro Van-Langley,BC,23752 52nd Avenue,49.09561,-122.567104,88,"PE,LU,P3,R",DMean,0.1,0.14,0.17,0.19,0.22,0.25,0.3,0.36,0.43,0.54,0.89,0.89,99.178082192,0.2,0.19,0.21,0.21,0.2,0.14,0.16,0.27,0.19,0.29,0.24,0.2,0.21,0.084331686,2018
101401,Metro Van-Hope,BC,62715 Airport Road,49.369887,-121.49912,40,"RB,SU,P2,F",DMean,0.11,0.13,0.14,0.15,0.17,0.18,0.21,0.26,0.48,0.63,1.39,1.39,96.98630137,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.37,0.16,0.16,0.16,0.15,0.17,0.111632622,2018
101501,Metro Van - Maple Ridge,BC,23124 118th Avenue,49.21494,-122.582057,50,"PE,LU,P4,R",DMean,0.11,0.14,0.17,0.19,0.22,0.25,0.3,0.39,0.46,0.51,0.84,0.84,99.178082192,0.24,0.22,0.2,0.18,0.18,0.15,0.17,0.29,0.18,0.25,0.24,0.24,0.21,0.084960152,2018
129003,Yellowknife,NT,"52nd Ave & 49t Street, Sir John Franklin High School",62.45207,-114.364,193,"PE,SU,P3,R",DMean,0.09,0.12,0.14,0.16,0.18,0.2,0.22,0.25,0.28,0.29,0.36,0.36,99.726027397,0.2,0.22,0.2,0.18,0.14,0.12,0.12,0.14,0.15,0.15,0.15,0.18,0.16,0.043051566,2018
129203,Inuvik,NT,"Bompas Road (Block21, Lot 4084)",68.35702,-133.714057,30,"PE,SU,P2,R",DMean,0,0.01,0.03,0.09,0.14,0.19,0.28,0.34,0.39,0.47,0.65,0.65,99.452054795,0.02,0.05,0.05,0.14,0.09,0.11,0.02,0.04,0.08,0.17,0.26,0.34,0.12,0.111265699,2018
129601,Fort Smith,NT,95 Conibear Crescent,60.00455,-111.893241,358,"PE,SU,P2,R",DMean,0,0.02,0.09,0.14,0.26,0.32,0.36,0.38,0.42,0.44,0.48,0.48,99.178082192,0.27,0.34,0.37,0.27,0.11,0.05,0.03,0.05,0.06,0.14,0.2,0.22,0.18,0.125744103,2018
10102,St Johns,NL,354 Water Street,47.56038,-52.71147,17,"PE,LU,P4,R",DMean,0.07,0.11,0.14,0.16,0.19,0.2,0.22,0.24,0.27,0.31,0.52,0.52,95.616438356,0.2,0.2,0.19,0.19,0.17,0.19,0.18,0.17,0.15,0.13,0.13,0.14,0.17,0.045912545,2015
10401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,134,"PE,LU,P3,R",DMean,0.11,0.15,0.18,0.2,0.22,0.24,0.28,0.3,0.32,0.34,0.35,0.35,100,0.21,0.21,0.21,0.2,0.21,0.2,0.24,0.28,0.24,0.18,0.15,0.15,0.21,0.04750708,2015
10501,Grand Falls-Windsor,NL,Scott Avenue,48.92696,-55.65966,64,"PE,SU,P3,I",DMean,0.08,0.09,0.11,0.13,0.15,0.16,0.19,0.21,0.22,0.23,0.35,0.35,93.97260274,0.18,0.18,0.17,0.15,0.12,0.1,0.11,0.11,0.11,0.11,0.13,0.14,0.13,0.036920633,2015
10602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,99,"PE,SU,P2,I",DMean,0.1,0.12,0.13,0.15,0.16,0.17,0.18,0.2,0.21,0.25,0.36,0.36,100,0.17,0.19,0.18,0.16,0.15,0.12,0.13,0.14,0.13,0.13,0.14,0.15,0.15,0.029425193,2015
