NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
40209,Saint John,NB,8 Castle Street,45.28028,-66.05611,41,"PE,MU,P3,R",DMean,11,19,24,28,33,36,39,41,42,44,45,45,99.453551913,30,34,38,37,30,24,24,22,22,25,27,26,28.39,7.57575517,2020
40302,Moncton,NB,5 Thanet Street,46.101578,-64.789661,9,"T,LU,P4,R",DMean,7,14,18,24,29,32,35,37,38,40,42,42,95.901639344,25,29,34,34,28,22,16,19,17,19,23,23,24.11,7.995910039,2020
40901,St Andrews,NB,Brandy Cove Road,45.086912,-67.074036,25,"PE,SU,P2,P",DMean,8,17,22,27,37,40,43,45,46,47,50,50,98.087431694,35,40,43,42,32,24,19,21,21,23,25,25,29.23,9.814848617,2020
41302,Bathurst,NB,1255 Rough Waters Drive,47.609693,-65.633509,16,"PE,SU,P2,R",DMean,7,14,20,26,37,40,44,46,47,48,50,50,100,36,40,43,43,35,28,15,17,18,20,21,23,28.22,11.172105707,2020
41501,Edmundston,NB,19 Queen St.,47.363195,-68.322302,159,"PS,SU,P2,R",DMean,7,17,21,25,28,30,33,35,37,39,42,42,100,23,26,30,32,28,26,19,20,22,21,21,27,24.74,6.247397088,2020
41601,Miramichi,NB,15 Gretna Green Drive,47.025671,-65.520487,24,"PS,SU,P3,R",DMean,8,21,26,29,32,33,35,36,38,40,41,41,93.442622951,,29,32,33,28,27,22,27,28,29,30,27,28.4,5.346197077,2020
50103,Montreal,QC,"1050 A, Boul. Saint-Jean-Baptiste",45.641026,-73.499682,19,"PE,LU,P4,R",DMean,4,15,20,25,29,32,35,37,40,42,47,47,96.994535519,21,26,31,33,32,29,26,21,19,19,20,21,24.78,7.70064566,2020
50109,Montreal,QC,"2495 Duncan / Decarie, Mt-Royal",45.502648,-73.663913,41,"T,LU,P6,I",DMean,2,11,16,21,26,29,32,35,37,39,40,40,96.448087432,16,20,27,31,29,25,23,19,16,16,17,16,21.22,8.146904935,2020
50113,Laval,QC,1160 Boul Pie-Ix,45.547463,-73.748317,35,"PE,LU,P6,R",DMean,4,14,21,27,32,35,39,41,44,46,51,51,97.540983607,21,28,32,36,35,32,28,23,20,19,22,20,26.47,9.019321215,2020
50119,Longueuil,QC,Face Au 1819 Rue Victoria,45.52207,-73.4881,32,"PE,LU,P6,R",DMean,6,16,21,25,30,33,38,41,44,48,51,51,79.508196721,22,24,,,35,31,31,25,22,21,22,21,25.71,8.449176295,2020
50122,Brossard,QC,En Face Du 8400 Avenue Sorbonne,45.448663,-73.480819,17,"PE,LU,P5,R",DMean,4,16,22,27,32,35,38,40,42,44,51,51,96.721311475,22,31,35,36,34,31,29,23,20,21,22,21,27.07,8.444344033,2020
50126,Montreal,QC,20965 Ch. Sainte-Marie,45.426542,-73.928929,39,"PE,LU,P3,R",DMean,5,15,20,24,29,32,36,39,43,44,46,46,73.49726776,25,30,,,,,29,22,20,20,22,21,,,2020
50128,Montreal,QC,"90-A Rue Herve-Saint-Martin, Dorval",45.468322,-73.741198,33,"PE,LU,P3,C",DMean,3,14,20,26,31,33,38,40,42,44,46,46,97.81420765,19,24,32,35,34,31,29,24,20,21,22,20,25.77,8.709328583,2020
