State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_daily_mean_values_above_125_µg_m,Number_of_hourly_mean_values_above_350_µg_m3,Year
Saxony-Anhalt,DEST077,Magdeburg/West,urban area,background,0.9,,,2019
Saxony-Anhalt,DEST089,Zartau/Waldstation,rural regional,background,0.82,,,2019
Saxony-Anhalt,DEST098,Unterharz / Friedrichsbrunn,rural regional,background,0.65,,,2019
Saxony-Anhalt,DEST015,Bitterfeld/Wolfen,suburban area,industry,1.5,,,2019
Saxony-Anhalt,DEST090,Leuna,suburban area,industry,2.4,,,2019
Saxony-Anhalt,DEST108,Weißenfels/Am Krug,urban area,traffic,1,,,2019
Schleswig-Holstein,DESH035,Brunsbüttel-Cuxhavener Straße,urban area,background,1,,,2019
Thuringia,DETH009,Gera Friedericistr.,urban area,background,0.99,,,2019
Thuringia,DETH020,Erfurt Krämpferstr.,urban area,background,0.91,,,2019
Thuringia,DETH027,Neuhaus,rural secluded,background,1.1,,,2019
Thuringia,DETH042,Possen,rural secluded,background,0.99,,,2019
Thuringia,DETH061,Hummelshain,rural secluded,background,1,,,2019
UBA,DEUB001,Westerland,rural area,background,0.23,,,2019
UBA,DEUB004,Schauinsland,rural regional,background,0.26,,,2019
UBA,DEUB005,Waldhof,rural area,background,0.66,,,2019
UBA,DEUB028,Zingst,rural area,background,0.7,,,2019
UBA,DEUB029,Schmücke,rural area,background,0.74,,,2019
UBA,DEUB030,Neuglobsow,rural regional,background,0.77,,,2019
UBA,DEUB046,Forellenbach,rural secluded,background,0.84,,,2019
Baden-Württemberg,DEBW004,Eggenstein,rural near town,background,2,0,0,2018
Baden-Württemberg,DEBW029,Aalen,suburban area,background,1.3,0,0,2018
Baden-Württemberg,DEBW031,Schwarzwald-Süd,rural regional,background,0.68,0,0,2018
Baden-Württemberg,DEBW005,Mannheim-Nord,suburban area,industry,2.7,0,0,2018
Berlin,DEBE066,Berlin Karlshorst,urban area,background,1.1,0,0,2018
